kh1,c/beta_l
1.728280182126814071e-02,1.689999999999999947e+00
1.731077372597907005e-02,1.688521303258145423e+00
1.733916951884503788e-02,1.687042606516290677e+00
1.736799887556698951e-02,1.685563909774435931e+00
1.739727176851804322e-02,1.684085213032581407e+00
1.742699847820169609e-02,1.682606516290726884e+00
1.744360902255639306e-02,1.681789379627432579e+00
1.745602376018491608e-02,1.681127819548872138e+00
1.748404462844884225e-02,1.679649122807017392e+00
1.751249170733431074e-02,1.678170426065162868e+00
1.754137476193817768e-02,1.676691729323308344e+00
1.757070385789853348e-02,1.675213032581453598e+00
1.760048937304638933e-02,1.673734335839598852e+00
1.763074200960373580e-02,1.672255639097744329e+00
1.766147280695803262e-02,1.670776942355889805e+00
1.766917293233082747e-02,1.670409486575898050e+00
1.769069629497136212e-02,1.669298245614035059e+00
1.771970839815072141e-02,1.667819548872180313e+00
1.774917081750605058e-02,1.666340852130325789e+00
1.777909408409120498e-02,1.664862155388471043e+00
1.780948905984278130e-02,1.663383458646616297e+00
1.784036695067817493e-02,1.661904761904761774e+00
1.787173932022079886e-02,1.660426065162907472e+00
1.789473684210526189e-02,1.659356322052154997e+00
1.790287430861546569e-02,1.658947368421052504e+00
1.793254635292519661e-02,1.657468671679197758e+00
1.796268550642074469e-02,1.655989974937343234e+00
1.799330285002690571e-02,1.654511278195488710e+00
1.802440981787841942e-02,1.653032581453633965e+00
1.805601821150613906e-02,1.651553884711779219e+00
1.808814021471266686e-02,1.650075187969924695e+00
1.812030075187969977e-02,1.648618355600566909e+00
1.812074808771989634e-02,1.648596491228070171e+00
1.815118142382729505e-02,1.647117794486215425e+00
1.818210136410904065e-02,1.645639097744360679e+00
1.821351963507319288e-02,1.644160401002506156e+00
1.824544834299560159e-02,1.642681704260651632e+00
1.827789998941888733e-02,1.641203007518796886e+00
1.831088748741668132e-02,1.639724310776942140e+00
1.834442417866769329e-02,1.638245614035087616e+00
1.834586466165413765e-02,1.638182516770234853e+00
1.837584580715411267e-02,1.636766917293233092e+00
1.840765885370873600e-02,1.635288220551378346e+00
1.843999349066314727e-02,1.633809523809523601e+00
1.847286261114031158e-02,1.632330827067669077e+00
1.850627953665204273e-02,1.630852130325814553e+00
1.854025803504001646e-02,1.629373433583959585e+00
1.857142857142857206e-02,1.628038157957728993e+00
1.857453892786666699e-02,1.627894736842105061e+00
1.860683247221194686e-02,1.626416040100250537e+00
1.863966101521320057e-02,1.624937343358396014e+00
1.867303792111758842e-02,1.623458646616541268e+00
1.870697700294569887e-02,1.621979949874686522e+00
1.874149254148814100e-02,1.620501253132831998e+00
1.877659930527538976e-02,1.619022556390977252e+00
1.879699248120300648e-02,1.618174266245564485e+00
1.881108729141476102e-02,1.617543859649122728e+00
1.884450114696742395e-02,1.616065162907267982e+00
1.887847973595002324e-02,1.614586466165413459e+00
1.891303745377026849e-02,1.613107769423558935e+00
1.894818918920611328e-02,1.611629072681703967e+00
1.898395034572472606e-02,1.610150375939849443e+00
1.902033686391639555e-02,1.608671679197994919e+00
1.902255639097744436e-02,1.608582120016975203e+00
1.905460718620360927e-02,1.607192982456140395e+00
1.908928611035915282e-02,1.605714285714285650e+00
1.912456390736340037e-02,1.604235588972430904e+00
