kH,c_analytical
3.216079999999999828e+00,3.030854471829308228e+00
3.219162135201220742e+00,3.027892976588628660e+00
3.228109143524184876e+00,3.019581939799331316e+00
3.237660580113233433e+00,3.011270903010033528e+00
3.238617424749164364e+00,3.010457065057072334e+00
3.246607045973820327e+00,3.002959866220735741e+00
3.256016807948863168e+00,2.994648829431437953e+00
3.261154849498327568e+00,2.990303239343620412e+00
3.265410926784144241e+00,2.986337792642141054e+00
3.274699329116030899e+00,2.978026755852842822e+00
3.283692274247491660e+00,2.970467097384724031e+00
3.284504811668833568e+00,2.969715719063545478e+00
3.293690875376011462e+00,2.961404682274247691e+00
3.303511679684182134e+00,2.953093645484949903e+00
3.306229698996655308e+00,2.950865468428357730e+00
3.312976474616947886e+00,2.944782608695652115e+00
3.322705838502568731e+00,2.936471571906354328e+00
3.328767123745818957e+00,2.931536992923729379e+00
3.332543210421244240e+00,2.928160535117056984e+00
3.342199946049500880e+00,2.919849498327759196e+00
3.351304548494982605e+00,2.912491821257447100e+00
3.352380021591189863e+00,2.911538461538462297e+00
3.361982120573729027e+00,2.903227424749164065e+00
3.372269223902304436e+00,2.894916387959866277e+00
3.373841973244147141e+00,2.893679389800670521e+00
3.382042337645791541e+00,2.886605351170568490e+00
3.392290066323214504e+00,2.878294314381270702e+00
3.396379397993310789e+00,2.875104383026878541e+00
3.402372278340666689e+00,2.869983277591973359e+00
3.412599295423907275e+00,2.861672240802676015e+00
3.418916822742474881e+00,2.856786781522744789e+00
3.422965205926033594e+00,2.853361204013378227e+00
3.433189791292467596e+00,2.845050167224080440e+00
3.441454247491638530e+00,2.838717093408118064e+00
3.443815867593476909e+00,2.836739130434782208e+00
3.454056072478671080e+00,2.828428093645484864e+00
3.463991672240802622e+00,2.820886707952025674e+00
3.464920418540096581e+00,2.820117056856186633e+00
3.475194213929437392e+00,2.811806020066889289e+00
3.486238429706285835e+00,2.803494983277592389e+00
3.486529096989966270e+00,2.803280978016998493e+00
3.496601788029321867e+00,2.795183946488294602e+00
3.507705770925314326e+00,2.786872909698996814e+00
3.509066521739130362e+00,2.785881531078777229e+00
3.518277827120516843e+00,2.778561872909699026e+00
3.529461985278175895e+00,2.770250836120401239e+00
3.531603946488294010e+00,2.768707322761216894e+00
3.540222806461801319e+00,2.761939799331103451e+00
3.551507986293128916e+00,2.753628762541806552e+00
3.554141371237458102e+00,2.751752667516299322e+00
3.562438647125167002e+00,2.745317725752508764e+00
3.573846309345818373e+00,2.737006688963210976e+00
3.576678795986621751e+00,2.735012567105002734e+00
3.584928738845756691e+00,2.728695652173913189e+00
3.596481143833148320e+00,2.720384615384615401e+00
3.599216220735785843e+00,2.718482682066813538e+00
3.607697983356647153e+00,2.712073578595317613e+00
3.619418389413677772e+00,2.703762541806019826e+00
3.621753645484949047e+00,2.702159308234891810e+00
3.630752859276827671e+00,2.695451505016722482e+00
3.642665737768877143e+00,2.687140468227425139e+00
3.644291070234113583e+00,2.686039358032461521e+00
3.654101510200787217e+00,2.678829431438127351e+00
3.666232782060164563e+00,2.670518394648829563e+00
3.666828494983277231e+00,2.670120346353294760e+00
3.677753858287129418e+00,2.662207357859531776e+00
3.689365919732441323e+00,2.654383315413309852e+00
3.690033882165545176e+00,2.653896321070233544e+00
3.701721746391121393e+00,2.645585284280936644e+00
3.711903344481605416e+00,2.638823448147798345e+00
3.714060757382818156e+00,2.637274247491638857e+00
3.726019112668054412e+00,2.628963210702341513e+00
3.734440769230769064e+00,2.623453242335956226e+00
3.738403192489388793e+00,2.620652173913043725e+00
3.750662202635621334e+00,2.612341137123745938e+00
3.756978193979932712e+00,2.608272370731971712e+00
3.763077363900459105e+00,2.604030100334448150e+00
3.775669824981418454e+00,2.595719063545150362e+00
3.779515618729096360e+00,2.593281066996880657e+00
3.788101900166024549e+00,2.587408026755853019e+00
3.801063659010282425e+00,2.579096989966555231e+00
3.802053043478260896e+00,2.578480136004472456e+00
3.813498182330490760e+00,2.570785953177257888e+00
3.824590468227424545e+00,2.563821993918692144e+00
3.826583420122377621e+00,2.562474916387960100e+00
3.839290703240891389e+00,2.554163879598662312e+00
3.847127892976588637e+00,2.549328024737924636e+00
3.852362394392874645e+00,2.545852842809364525e+00
3.865507497825785954e+00,2.537541806020066737e+00
3.869665317725751841e+00,2.535021936036483847e+00
3.878551756154269725e+00,2.529230769230769837e+00
3.892180659487392447e+00,2.520919732441471606e+00
3.892202742474916377e+00,2.520906596089240725e+00
3.905182934089005187e+00,2.512608695652174262e+00
3.914740167224080469e+00,2.506888916804855150e+00
3.918774807639757718e+00,2.504297658862876474e+00
3.932291880150650787e+00,2.495986622073578687e+00
3.937277591973244117e+00,2.493060043690291216e+00
3.945830127594065484e+00,2.487675585284280899e+00
3.959815016722407766e+00,2.479422647476678065e+00
3.959906930642315803e+00,2.479364548494983111e+00
3.973389648551294506e+00,2.471053511705685768e+00
3.982352441471571858e+00,2.465869690990786012e+00
3.987403112059134447e+00,2.462742474916387980e+00
4.001499615676728183e+00,2.454431438127090637e+00
4.004889866220735506e+00,2.452511233991217399e+00
4.015435409549186652e+00,2.446120401337792849e+00
4.027427290969899154e+00,2.439296397782276582e+00
4.029872637663777901e+00,2.437809364548494617e+00
4.044055884797743694e+00,2.429498327759197274e+00
4.049964715719063690e+00,2.426208314759930929e+00
4.058407594616642911e+00,2.421187290969899486e+00
4.072502140468227338e+00,2.413307303738950527e+00
4.073224853265622336e+00,2.412876254180602142e+00
4.087575563311905746e+00,2.404565217391304355e+00
4.095039565217390987e+00,2.400485750886750758e+00
4.102300631424441235e+00,2.396254180602007011e+00
4.117444734829349251e+00,2.387943143812709224e+00
4.117576989966554635e+00,2.387872548940909390e+00
4.132062477546860180e+00,2.379632107023411436e+00
4.140114414715719171e+00,2.375318753000558392e+00
4.147124669555554810e+00,2.371321070234113648e+00
4.162588190021130785e+00,2.363010033444815861e+00
4.162651839464882819e+00,2.362976768177226461e+00
4.177537461697330201e+00,2.354698996655518517e+00
4.185189264214046467e+00,2.350687625987672114e+00
4.192905997655056005e+00,2.346387959866220729e+00
4.207726688963211004e+00,2.338598532132043939e+00
4.208661436799371991e+00,2.338076923076923386e+00
4.224039268634648181e+00,2.329765886287625598e+00
4.230264113712374652e+00,2.326577450073761710e+00
4.239688184710088237e+00,2.321454849498327810e+00
4.252801538461538300e+00,2.314723963346777769e+00
4.255705432845587666e+00,2.313143812709030023e+00
4.271626327513562416e+00,2.304832775919732235e+00
4.275338963210701948e+00,2.302977868253947680e+00
4.287534039800035224e+00,2.296521739130434892e+00
4.297876387959865596e+00,2.291345937898339624e+00
4.303794655751368659e+00,2.288210702341137104e+00
4.320379500517781857e+00,2.279899665551839760e+00
4.320413812709030132e+00,2.279882973731629736e+00
4.336528559159310348e+00,2.271588628762541973e+00
4.342951237458193781e+00,2.268460356435674896e+00
4.353017988259740179e+00,2.263277591973244185e+00
4.365488662207357429e+00,2.257198703333654244e+00
4.369824876677487424e+00,2.254966555183946397e+00
4.386783127983741259e+00,2.246655518394648610e+00
4.388026086956521965e+00,2.246067428149856049e+00
4.403490745324784683e+00,2.238344481605351266e+00
4.410563511705685613e+00,2.234996794189076041e+00
4.420507519299341936e+00,2.230033444816053478e+00
4.433100936454849261e+00,2.224072782184547847e+00
4.437814117658051671e+00,2.221722408026756135e+00
4.455360757155946594e+00,2.213411371237458347e+00
4.455638361204012909e+00,2.213284051823099841e+00
4.472583479869792100e+00,2.205100334448160559e+00
4.478175785953177446e+00,2.202536561626350142e+00
4.490091383692124793e+00,2.196789297658862772e+00
4.500713210702341094e+00,2.191923597446592265e+00
4.507868038912449471e+00,2.188478260869564984e+00
4.523250635451504742e+00,2.181439791723711608e+00
4.525898568971980396e+00,2.180167224080267641e+00
4.543958865825807436e+00,2.171856187290969853e+00
4.545788060200669278e+00,2.171046804563419919e+00
4.561938904579505127e+00,2.163545150501672509e+00
4.568325484949832926e+00,2.160723614332302756e+00
4.580172440282946233e+00,2.155234113712374722e+00
4.590862909698996575e+00,2.150520123523868676e+00
4.598646792826698082e+00,2.146923076923076934e+00
4.613400334448160223e+00,2.140431953987588898e+00
4.617350480513128019e+00,2.138612040133779146e+00
4.635937759197323871e+00,2.130454992570453676e+00
4.636273107478221966e+00,2.130301003344481359e+00
4.655011367015696067e+00,2.121989966555184015e+00
4.658475183946488407e+00,2.120523716958740756e+00
4.673939298661577091e+00,2.113678929765886672e+00
4.681012608695652055e+00,2.110693729875232183e+00
4.693090575730133551e+00,2.105367892976588884e+00
4.703550033444816592e+00,2.100968208555941796e+00
4.712456478702375051e+00,2.097056856187291096e+00
4.726087458193980240e+00,2.091343798298110901e+00
4.732029175725873671e+00,2.088745819397993309e+00
4.748624882943143888e+00,2.081817348716648919e+00
4.751801653387473401e+00,2.080434782608695521e+00
4.771162307692307536e+00,2.072385901915930528e+00
4.771767656346023401e+00,2.072123745819397733e+00
4.791696104190288352e+00,2.063812709030100390e+00
4.793699732441471184e+00,2.063012052511897565e+00
4.811756895225845376e+00,2.055501672240803046e+00
4.816237157190634832e+00,2.053719824947628503e+00
4.832021795402905440e+00,2.047190635451505258e+00
4.838774581939799369e+00,2.044518500519286075e+00
4.852486063336339583e+00,2.038879598662207471e+00
4.861312006688963017e+00,2.035405702146225071e+00
4.873145646940643338e+00,2.030568561872909683e+00
4.883849431438126665e+00,2.026379208260463027e+00
4.893997150319883360e+00,2.022257525083611895e+00
4.906386856187291201e+00,2.017436945365830514e+00
4.915037806464896519e+00,2.013946488294314108e+00
4.928924280936454849e+00,2.008576981245342452e+00
4.936265455337668584e+00,2.005635451505016320e+00
