kH,c_analytical
2.587065287343220277e+00,2.049999999999999822e+00
2.589910570226673592e+00,2.049331103678929455e+00
2.592814410781500545e+00,2.048662207357859533e+00
2.594648829431438042e+00,2.048246192058848614e+00
2.595723902010361073e+00,2.047993311036789166e+00
2.598602753502321505e+00,2.047324414715718799e+00
2.601541373949291636e+00,2.046655518394648432e+00
2.602943143812709081e+00,2.046340793499612065e+00
2.604464255886391300e+00,2.045986622073578509e+00
2.607378683572175060e+00,2.045317725752508142e+00
2.610354169748959396e+00,2.044648829431437775e+00
2.611237458193980121e+00,2.044452531538705209e+00
2.613288381116066983e+00,2.043979933110367853e+00
2.616240483884408885e+00,2.043311036789297486e+00
2.619255017757864401e+00,2.042642140468227119e+00
2.619531772575251161e+00,2.042581273674767939e+00
2.622198484473639013e+00,2.041973244147157196e+00
2.625190460267493364e+00,2.041304347826086829e+00
2.627826086956521756e+00,2.040726370791521305e+00
2.628226116656760425e+00,2.040635451505016462e+00
2.631196958222357551e+00,2.039966555183946539e+00
2.634231112440646783e+00,2.039297658862876172e+00
2.636120401337792796e+00,2.038887781026703649e+00
2.637272530334698661e+00,2.038628762541805806e+00
2.640286392126546477e+00,2.037959866220735439e+00
2.643365146750762396e+00,2.037290969899665072e+00
2.644414715719063391e+00,2.037065750667302222e+00
2.646410258035360119e+00,2.036622073578595149e+00
2.649469586734889859e+00,2.035953177257524782e+00
2.652595490263460754e+00,2.035284280936454859e+00
2.652709030100334431e+00,2.035260188093053202e+00
2.655642195544061668e+00,2.034615384615384492e+00
2.658749568069179059e+00,2.033946488294314126e+00
2.661003344481605470e+00,2.033469872551433522e+00
2.661881247289362928e+00,2.033277591973243759e+00
2.664971469214386879e+00,2.032608695652173836e+00
2.668129603870932787e+00,2.031939799331103469e+00
2.669297658862876066e+00,2.031695616852963404e+00
2.671259535147036068e+00,2.031270903010033102e+00
2.674401452897501308e+00,2.030602006688963179e+00
2.677591973244147106e+00,2.029937474342132564e+00
2.677612211356995342e+00,2.029933110367892812e+00
2.680739261734734313e+00,2.029264214046822445e+00
2.683935786674828350e+00,2.028595317725752523e+00
2.685886287625418145e+00,2.028193861154081290e+00
2.687141540604336409e+00,2.027926421404682156e+00
2.690324182173913226e+00,2.027257525083611789e+00
2.693578397602452323e+00,2.026588628762541866e+00
2.694180602006689185e+00,2.026466175113969648e+00
2.696776983030528818e+00,2.025919732441471499e+00
2.700018346378261214e+00,2.025250836120401132e+00
2.702474916387959780e+00,2.024753342666753664e+00
2.703292859507886003e+00,2.024581939799330765e+00
2.706522714527682894e+00,2.023913043478260843e+00
2.709826123024510203e+00,2.023244147157190476e+00
2.710769230769230820e+00,2.023055526092647494e+00
2.713090235897845481e+00,2.022575250836120109e+00
2.716383239057841514e+00,2.021906354515049742e+00
2.719063545150501859e+00,2.021372618134054111e+00
2.719719734128030808e+00,2.021237458193979819e+00
2.723003669037777463e+00,2.020568561872909452e+00
2.726363416411086593e+00,2.019899665551839529e+00
2.727357859531772455e+00,2.019704176534530937e+00
2.729686300025503165e+00,2.019230769230769162e+00
2.733038168988330074e+00,2.018561872909698796e+00
2.735652173913043939e+00,2.018050374876574793e+00
2.736430104388700268e+00,2.017892976588628429e+00
2.739775435745398724e+00,2.017224080267558506e+00
2.743199144918520016e+00,2.016555183946488139e+00
2.743946488294314534e+00,2.016410879253839994e+00
2.746574253338500693e+00,2.015886287625417772e+00
2.749992718704657779e+00,2.015217391304347849e+00
2.752240802675585130e+00,2.014785427271320373e+00
2.753433740240191607e+00,2.014548494983277482e+00
2.756848317373830071e+00,2.013879598662207115e+00
2.760344176079303047e+00,2.013210702341137193e+00
2.760535117056856613e+00,2.013174513711602387e+00
2.763765125657163146e+00,2.012541806020066826e+00
2.767258513432678591e+00,2.011872909698996459e+00
2.768829431438127209e+00,2.011576714194014848e+00
2.770742407597800661e+00,2.011204013377926092e+00
2.774234706779834525e+00,2.010535117056856169e+00
2.777123745819397804e+00,2.009993275201980012e+00
2.777779504352160256e+00,2.009866220735785802e+00
2.781272089608535225e+00,2.009197324414715435e+00
2.784849425248018040e+00,2.008528428093645513e+00
2.785418060200669288e+00,2.008423297427825549e+00
2.788370073218389145e+00,2.007859531772575146e+00
2.791949305966397343e+00,2.007190635451504779e+00
2.793712374581939883e+00,2.006866495384678650e+00
2.795528145009762877e+00,2.006521739130434856e+00
2.799110695118619319e+00,2.005852842809364489e+00
2.802006688963210479e+00,2.005323459337966518e+00
2.802745867027497617e+00,2.005183946488294122e+00
2.806333155373693877e+00,2.004515050167223755e+00
2.810009394105104086e+00,2.003846153846153832e+00
