kH,c_analytical
2.519999999999999574e+00,2.066193231708607581e+00
2.520219305792640974e+00,2.066137123745819260e+00
2.523319340943882771e+00,2.065351170568561656e+00
2.526490208051046515e+00,2.064565217391304497e+00
2.528294314381271057e+00,2.064125306166362694e+00
2.529663496161710157e+00,2.063779264214046893e+00
2.532818815778779431e+00,2.062993311036789290e+00
2.536047113346123982e+00,2.062207357859531687e+00
2.536588628762541653e+00,2.062076931901318577e+00
2.539214862866320477e+00,2.061421404682274083e+00
2.542428680265294894e+00,2.060635451505016924e+00
2.544882943143812692e+00,2.060046781133628269e+00
2.545676827914511886e+00,2.059849498327759321e+00
2.548877614520051793e+00,2.059063545150501717e+00
2.552153342674641667e+00,2.058277591973244114e+00
2.553177257525083732e+00,2.058035100930351469e+00
2.555392465977042171e+00,2.057491638795986511e+00
2.558656300856252841e+00,2.056705685618728907e+00
2.561471571906354328e+00,2.056041899760199687e+00
2.561971887753705879e+00,2.055919732441471748e+00
2.565225264624660273e+00,2.055133779264214144e+00
2.568555841867007139e+00,2.054347826086956541e+00
2.569765886287625367e+00,2.054066237903417136e+00
2.571858957438239557e+00,2.053561872909698938e+00
2.575180300646829235e+00,2.052775919732441334e+00
2.578060200668896407e+00,2.052108892983488531e+00
2.578556200106714158e+00,2.051989966555183731e+00
2.581869742052617767e+00,2.051204013377926572e+00
2.585263066460270043e+00,2.050418060200668968e+00
2.586354515050167002e+00,2.050168662559534560e+00
2.588623057499362279e+00,2.049632107023411365e+00
2.592009909372929854e+00,2.048846153846153761e+00
2.594648829431438042e+00,2.048246165157197929e+00
2.595439231063024099e+00,2.048060200668896158e+00
2.598821052906689300e+00,2.047274247491638555e+00
2.602285596093556475e+00,2.046488294314381395e+00
2.602943143812709081e+00,2.046340867097669936e+00
2.605695553261808683e+00,2.045702341137123792e+00
2.609156520754240205e+00,2.044916387959866189e+00
2.611237458193980121e+00,2.044452289723508898e+00
2.612632555785227684e+00,2.044130434782608585e+00
2.616091412973978070e+00,2.043344481605351426e+00
2.619531772575250717e+00,2.042581357893009208e+00
2.619631292144088519e+00,2.042558528428093823e+00
2.623089493107049641e+00,2.041772575250836219e+00
2.626633900956970358e+00,2.040986622073578616e+00
2.627826086956521756e+00,2.040726006317088448e+00
2.630150068317842482e+00,2.040200668896321012e+00
2.633695472553152950e+00,2.039414715719063409e+00
2.636120401337792796e+00,2.038887649588584594e+00
2.637272530334698661e+00,2.038628762541805806e+00
2.640820428518470653e+00,2.037842809364548646e+00
2.644414715719063391e+00,2.037066155296889836e+00
2.644456353510811653e+00,2.037056856187291043e+00
2.648008241121699413e+00,2.036270903010033440e+00
2.651650594545372108e+00,2.035484949832775836e+00
2.652709030100334431e+00,2.035259702110850721e+00
2.655258466656696292e+00,2.034698996655518233e+00
2.658906711968190173e+00,2.033913043478261073e+00
2.661003344481605470e+00,2.033469606878437475e+00
2.662570744077640938e+00,2.033127090301003470e+00
2.666226443749206254e+00,2.032341137123745867e+00
2.669297658862875622e+00,2.031695674739375512e+00
2.669944793925707938e+00,2.031555183946488263e+00
2.673609518395547724e+00,2.030769230769230660e+00
2.677369861998247558e+00,2.029983277591973057e+00
2.677591973244147106e+00,2.029937335723731362e+00
2.681055748454288068e+00,2.029197324414715897e+00
2.684827332726658966e+00,2.028411371237458294e+00
2.685886287625418145e+00,2.028193788005894671e+00
2.688565030046436988e+00,2.027625418060200690e+00
2.692349520249671002e+00,2.026839464882943087e+00
2.694180602006689185e+00,2.026465782857351350e+00
2.696137342695145822e+00,2.026053511705685484e+00
2.699936423502507843e+00,2.025267558528428324e+00
2.702474916387959780e+00,2.024753096520895745e+00
2.703772749448057233e+00,2.024481605351170721e+00
2.707588128560288077e+00,2.023695652173913118e+00
2.710769230769230820e+00,2.023055513756730317e+00
2.711471397295571517e+00,2.022909698996655514e+00
2.715304809153160193e+00,2.022123745819397911e+00
2.719063545150501859e+00,2.021372827628619362e+00
2.719233517888673735e+00,2.021337792642140307e+00
2.723086727499264725e+00,2.020551839464883148e+00
2.727044704668776909e+00,2.019765886287625545e+00
2.727357859531772455e+00,2.019704397076549807e+00
2.730934235462260773e+00,2.018979933110367941e+00
2.734914956027789668e+00,2.018193979933110338e+00
2.735652173913043494e+00,2.018050320358740102e+00
2.738847776042364845e+00,2.017408026755852735e+00
2.742853165322706843e+00,2.016622073578595131e+00
2.743946488294314534e+00,2.016410666793858830e+00
2.746827885212041576e+00,2.015836120401337972e+00
2.750859914713357224e+00,2.015050167224080369e+00
2.752240802675585130e+00,2.014785260649370802e+00
2.754875194110375958e+00,2.014264214046822765e+00
2.758935886326111309e+00,2.013478260869565162e+00
2.760535117056856169e+00,2.013173933763803714e+00
2.762990431612202258e+00,2.012692307692307558e+00
2.767081865067485325e+00,2.011906354515049955e+00
2.768829431438127209e+00,2.011576525417244632e+00
2.771174427291508646e+00,2.011120401337792796e+00
2.775298741860973806e+00,2.010334448160535192e+00
2.777123745819397804e+00,2.009992882215134280e+00
2.779428114801247851e+00,2.009548494983277589e+00
2.783587517331562289e+00,2.008762541806019986e+00
2.785418060200668844e+00,2.008422857985214360e+00
2.787752535695366518e+00,2.007976588628762382e+00
2.791949305966399120e+00,2.007190635451505223e+00
2.793712374581939883e+00,2.006866313687523551e+00
2.796148843722056299e+00,2.006404682274247619e+00
2.800385340784490751e+00,2.005618729096990016e+00
2.802006688963210479e+00,2.005323117337470151e+00
2.804618309621870420e+00,2.004832775919732413e+00
2.808896978551340240e+00,2.004046822742474809e+00
2.810301003344481519e+00,2.003793143941864585e+00
2.813162326468153562e+00,2.003260869565217206e+00
2.817485705581187716e+00,2.002474916387960047e+00
2.818595317725752558e+00,2.002276275448069409e+00
2.821782415592606341e+00,2.001688963210702443e+00
2.826153144173523479e+00,2.000903010033444840e+00
2.826889632107023598e+00,2.000772400706275711e+00
2.830480233143849222e+00,2.000117056856187236e+00
2.834901059737319429e+00,1.999331103678929855e+00
2.835183946488294193e+00,1.999281415445106624e+00
2.839257577333469396e+00,1.998545150501672252e+00
2.843478260869565233e+00,1.997802882325534490e+00
2.843719734249058995e+00,1.997759197324414648e+00
2.848116396430328212e+00,1.996973244147157267e+00
2.851772575250836272e+00,1.996336561834733958e+00
2.852606016736643824e+00,1.996187290969899664e+00
2.857058797571984776e+00,1.995401337792642060e+00
2.860066889632106868e+00,1.994882750055452458e+00
2.861575057293036295e+00,1.994615384615384679e+00
2.866087056470565386e+00,1.993829431438127076e+00
2.868361204013377908e+00,1.993441368455703966e+00
2.870629161044070177e+00,1.993043478260869694e+00
2.875203628100422293e+00,1.992257525083612091e+00
2.876655518394648947e+00,1.992012345293744158e+00
2.879770811994383450e+00,1.991471571906354487e+00
2.884411158465569613e+00,1.990685618729096884e+00
2.884949832775919543e+00,1.990595615672117846e+00
2.889002684932697740e+00,1.989899665551839281e+00
2.893244147157190582e+00,1.989190505924867347e+00
2.893691169268167940e+00,1.989113712374581899e+00
2.898327658536215878e+00,1.988327759197324518e+00
2.901538461538461622e+00,1.987796753568974450e+00
2.903039100286140428e+00,1.987541806020066915e+00
2.907748829800891333e+00,1.986755852842809311e+00
2.909832775919732661e+00,1.986415023057268581e+00
2.912482606679593466e+00,1.985969899665551708e+00
2.917269529941537876e+00,1.985183946488294326e+00
2.918127090301003257e+00,1.985045274906449331e+00
2.922025048551872839e+00,1.984397993311036723e+00
2.926421404682274297e+00,1.983686865138350575e+00
2.926871985688123345e+00,1.983612040133779342e+00
2.931670038331228412e+00,1.982826086956521738e+00
2.934715719063545336e+00,1.982339140615857698e+00
2.936537695901908052e+00,1.982040133779264135e+00
2.941421460326495652e+00,1.981254180602006532e+00
2.943010033444815932e+00,1.981003196383249065e+00
2.946309359489323043e+00,1.980468227424749372e+00
2.951283492331150615e+00,1.979682274247491547e+00
2.951304347826086971e+00,1.979679018879835439e+00
2.956191186027981921e+00,1.978896321070234166e+00
2.959598662207358011e+00,1.978364479780984730e+00
2.961185745789454593e+00,1.978110367892976562e+00
2.966187703926046026e+00,1.977324414715719181e+00
2.967892976588628606e+00,1.977061542762116542e+00
2.971201392179034784e+00,1.976538461538461355e+00
2.976187290969899646e+00,1.975770092426366142e+00
2.976298567194952227e+00,1.975752508361203974e+00
2.981336280095467473e+00,1.974966555183946593e+00
2.984481605351170685e+00,1.974487979833284168e+00
2.986452096999243189e+00,1.974180602006688989e+00
2.991595697082408911e+00,1.973394648829431386e+00
2.992775919732441281e+00,1.973217395487224968e+00
2.996729924778170240e+00,1.972608695652173783e+00
3.001070234113712321e+00,1.971957216731040630e+00
3.001944472107214157e+00,1.971822742474916401e+00
3.007137791496131474e+00,1.971036789297658798e+00
3.009364548494983360e+00,1.970706992102001287e+00
3.012370537803788828e+00,1.970250836120401416e+00
3.017658862876253956e+00,1.969468218421083883e+00
3.017680865701361181e+00,1.969464882943143813e+00
3.022932748414578707e+00,1.968678929765886210e+00
3.025953177257524995e+00,1.968238031651732722e+00
3.028261248077908974e+00,1.967892976588628828e+00
3.033637841658107348e+00,1.967107023411371225e+00
3.034247491638796035e+00,1.967019270292950539e+00
3.038984535766219963e+00,1.966321070234113844e+00
3.042541806020066630e+00,1.965809590034935939e+00
3.044406463449598199e+00,1.965535117056856240e+00
3.049858070870754556e+00,1.964749163879598637e+00
3.050836120401337670e+00,1.964610546427377313e+00
3.055298473679855409e+00,1.963963210702341033e+00
3.059130434782608710e+00,1.963420814906609912e+00
3.060811938638874796e+00,1.963177257525083652e+00
3.066348886471884416e+00,1.962391304347826049e+00
3.067424749163879305e+00,1.962241258757800866e+00
3.071881316534175177e+00,1.961605351170568667e+00
3.075719063545150789e+00,1.961070923536954114e+00
3.077484863094132717e+00,1.960819397993311064e+00
3.083118132020188806e+00,1.960033444816053461e+00
3.084013377926421384e+00,1.959910659964646751e+00
3.088741357080021288e+00,1.959247491638796301e+00
3.092307692307692424e+00,1.958759201091878177e+00
3.094433971224282764e+00,1.958461538461538476e+00
3.100175307915678413e+00,1.957675585284280873e+00
3.100602006688963463e+00,1.957618070691447221e+00
3.105888555587774214e+00,1.956889632107023491e+00
3.108896321070234059e+00,1.956484999331697505e+00
3.111669678132713557e+00,1.956103678929765888e+00
3.117190635451505099e+00,1.955362471388225609e+00
3.117516812752359368e+00,1.955317725752508284e+00
3.123334697771173118e+00,1.954531772575251125e+00
3.125484949832776138e+00,1.954247735729390367e+00
3.129204244807707092e+00,1.953745819397993078e+00
3.133779264214046734e+00,1.953142853846510985e+00
3.135138615532436113e+00,1.952959866220735918e+00
3.141093586215073064e+00,1.952173913043478315e+00
3.142073578595317329e+00,1.952046893014784512e+00
3.147051977738083650e+00,1.951387959866220490e+00
3.150367892976588813e+00,1.950959242144896688e+00
3.153074210951865908e+00,1.950602006688963330e+00
3.158662207357859408e+00,1.949881410853818497e+00
3.159158736187912542e+00,1.949816053511705727e+00
3.165229469184267508e+00,1.949030100334447901e+00
3.166956521739130448e+00,1.948811211660786302e+00
3.171340737498137941e+00,1.948244147157190742e+00
3.175250836120401488e+00,1.947749978423650496e+00
3.177513629784438631e+00,1.947458193979933139e+00
3.183545150501672083e+00,1.946698158536232182e+00
3.183746779366659840e+00,1.946672240802675535e+00
3.189957960474260723e+00,1.945886287625418376e+00
3.191839464882943123e+00,1.945653420179741744e+00
3.196221207550236976e+00,1.945100334448160551e+00
3.200133779264214162e+00,1.944617626233118068e+00
3.202544359141354491e+00,1.944314381270902947e+00
3.208428093645484758e+00,1.943590871886467619e+00
3.208926220697668974e+00,1.943528428093645566e+00
3.215304899087962465e+00,1.942742474916387962e+00
3.216722408026755797e+00,1.942571391617907706e+00
3.221720946769533800e+00,1.941956521739130359e+00
3.225016722408026837e+00,1.941560148916929407e+00
3.228195677797023322e+00,1.941170568561872756e+00
3.233311036789297432e+00,1.940557602326306252e+00
3.234728062977104912e+00,1.940384615384615374e+00
3.241304262027910887e+00,1.939598662207357993e+00
3.241605351170568472e+00,1.939563277356516124e+00
3.247875788989860624e+00,1.938812709030100390e+00
3.249899665551839512e+00,1.938575783640532624e+00
3.254505291427101099e+00,1.938026755852842786e+00
3.258193979933110107e+00,1.937596670929724096e+00
3.261191902971145140e+00,1.937240802675585183e+00
3.266488294314381147e+00,1.936625814834292969e+00
3.267934820221690462e+00,1.936454849498327579e+00
3.274731109227836612e+00,1.935668896321070198e+00
3.274782608695651742e+00,1.935663037210097581e+00
3.281520670480658985e+00,1.934882943143812817e+00
3.283076923076922782e+00,1.934706665297465156e+00
3.288367343430442347e+00,1.934096989966554991e+00
3.291371237458193821e+00,1.933758270948837676e+00
3.295270487947684845e+00,1.933311036789297610e+00
3.299665551839464861e+00,1.932817742324852706e+00
3.302229523738360761e+00,1.932525083612040229e+00
3.307959866220735456e+00,1.931884970824642833e+00
3.309243929043169885e+00,1.931739130434782625e+00
3.316254180602006940e+00,1.930959850995862537e+00
3.316313239498471788e+00,1.930953177257525244e+00
3.323388135688287282e+00,1.930167224080267641e+00
3.324548494983277536e+00,1.930041016729058923e+00
3.330517269128558056e+00,1.929381270903010037e+00
3.332842809364548131e+00,1.929129635001908483e+00
3.337702898902123572e+00,1.928595317725752434e+00
3.341137123745819615e+00,1.928225675817256235e+00
3.344944735282382453e+00,1.927809364548494830e+00
3.349431438127090210e+00,1.927329044692864812e+00
3.352242546684963465e+00,1.927023411371237671e+00
3.357725752508361694e+00,1.926439649956618982e+00
3.359596159315754171e+00,1.926237458193980068e+00
3.366020066889632290e+00,1.925557402677626095e+00
3.367005456976175370e+00,1.925451505016722464e+00
3.374314381270902885e+00,1.924682216600615225e+00
3.374470381025442833e+00,1.924665551839464861e+00
3.381963976857238929e+00,1.923879598662207480e+00
3.382608695652173925e+00,1.923813324602958064e+00
3.389509021555383583e+00,1.923093645484949876e+00
3.390903010033444964e+00,1.922951223263243747e+00
3.397112431870918936e+00,1.922307692307692273e+00
3.399197324414715560e+00,1.922096006719923089e+00
3.404774363782366642e+00,1.921521739130435114e+00
3.407491638795986155e+00,1.921247598415573021e+00
3.412495037099287032e+00,1.920735785953177288e+00
3.415785953177257639e+00,1.920405924241181950e+00
3.420274736403559057e+00,1.919949832775919685e+00
3.424080267558528234e+00,1.919570912488572922e+00
3.428113812185025644e+00,1.919163879598662303e+00
3.432374581939799274e+00,1.918742493805688287e+00
3.436012682178047228e+00,1.918377926421404700e+00
3.440668896321070314e+00,1.917920601154681659e+00
3.443971832907863018e+00,1.917591973244147319e+00
3.448963210702340909e+00,1.917105169772787221e+00
3.451991821455914433e+00,1.916806020066889715e+00
3.457257525083611505e+00,1.916296137135871547e+00
3.460073277455137486e+00,1.916020066889632112e+00
3.465551839464882988e+00,1.915493442924726342e+00
3.468216905328024957e+00,1.915234113712374731e+00
3.473846153846153584e+00,1.914697028993982197e+00
3.476423486780825023e+00,1.914448160535117127e+00
3.482140468227424179e+00,1.913906839343678001e+00
3.484693883570053607e+00,1.913662207357859746e+00
3.490434782608695663e+00,1.913122820093457577e+00
3.493029040558816689e+00,1.912876254180602142e+00
3.498729096989966258e+00,1.912344919459376236e+00
3.501429989082488703e+00,1.912090301003344539e+00
3.507023411371237742e+00,1.911573087733311693e+00
3.509897850645665507e+00,1.911304347826086936e+00
3.515317725752508338e+00,1.910807277265014648e+00
3.518433840975121907e+00,1.910518394648829776e+00
3.523612040133778933e+00,1.910047442446749510e+00
3.527039274455513684e+00,1.909732441471571729e+00
3.531906354515050417e+00,1.909293539700605891e+00
3.535715568978292200e+00,1.908946488294314126e+00
3.540200668896321012e+00,1.908545527468455294e+00
3.544464251237632979e+00,1.908160535117056966e+00
3.548494983277591608e+00,1.907803366204612328e+00
3.553286962510380231e+00,1.907374581939799363e+00
3.556789297658862647e+00,1.907067018371218170e+00
3.562185464962058123e+00,1.906588628762541759e+00
3.565083612040133687e+00,1.906336448436405373e+00
3.571161648525043919e+00,1.905802675585284600e+00
3.573377926421404727e+00,1.905611622875293065e+00
3.580217538400629618e+00,1.905016722408026775e+00
3.581672240802675766e+00,1.904892510173867404e+00
3.589355303242575790e+00,1.904230769230769393e+00
3.589966555183946362e+00,1.904179080835829652e+00
3.598260869565217401e+00,1.903471004934234712e+00
3.598564430214101328e+00,1.903444816053511790e+00
3.606555183946488441e+00,1.902767898354807308e+00
3.607831912555244713e+00,1.902658862876254187e+00
3.614849498327759036e+00,1.902070323627115478e+00
3.617185071597529777e+00,1.901872909698997027e+00
3.623143812709029632e+00,1.901378258196535498e+00
3.626626611537994371e+00,1.901086956521738980e+00
3.631438127090301116e+00,1.900691681517217901e+00
3.636159422115484041e+00,1.900301003344481821e+00
3.639732441471572155e+00,1.900010575075050001e+00
3.645786591611797522e+00,1.899515050167224217e+00
3.648026755852842751e+00,1.899334922414125160e+00
3.655511421081047985e+00,1.898729096989966614e+00
3.656321070234113790e+00,1.898664709166814735e+00
3.664615384615384386e+00,1.897999255385544481e+00
3.665308403235052470e+00,1.897943143812709010e+00
3.672909698996655425e+00,1.897338384457508909e+00
3.675173463096254256e+00,1.897157190635451407e+00
3.681204013377926465e+00,1.896682839286017330e+00
3.685142962077438966e+00,1.896371237458194026e+00
3.689498327759197061e+00,1.896032612299961784e+00
3.695221002014405176e+00,1.895585284280936200e+00
3.697792642140468100e+00,1.895387698108442098e+00
3.705411973474412424e+00,1.894799331103679041e+00
3.706086956521739140e+00,1.894748093550702617e+00
3.714381270903009735e+00,1.894112590500449667e+00
3.715667037633077818e+00,1.894013377926421438e+00
3.722675585284281219e+00,1.893481696651830415e+00
3.726012638065293814e+00,1.893227424749163834e+00
3.730969899665551814e+00,1.892856025361631778e+00
3.736480835498700692e+00,1.892441471571906453e+00
3.739264214046822410e+00,1.892235580458210942e+00
3.747077123759017692e+00,1.891655518394648849e+00
3.747558528428093894e+00,1.891620368177649558e+00
3.755852842809364489e+00,1.891008673121773231e+00
3.757729631265636083e+00,1.890869565217391468e+00
3.764147157190635085e+00,1.890401706817544270e+00
3.768497298749353241e+00,1.890083612040133865e+00
3.772441471571906568e+00,1.889799907487801134e+00
3.779405688552875731e+00,1.889297658862876261e+00
3.780735785953177164e+00,1.889203288717515861e+00
3.789030100334448203e+00,1.888610624872694821e+00
3.790405066527481104e+00,1.888511705685618658e+00
3.797324414715719243e+00,1.888021912855735396e+00
3.801500298419664858e+00,1.887725752508361499e+00
3.805618729096989838e+00,1.887438332310958256e+00
3.812751519921108834e+00,1.886939799331103673e+00
3.813913043478260878e+00,1.886859904552417477e+00
3.822207357859531918e+00,1.886284983700638573e+00
3.824089658080638277e+00,1.886153846153846292e+00
3.830501672240802513e+00,1.885714160201525491e+00
3.835547556105787237e+00,1.885367892976588688e+00
3.838795986622073997e+00,1.885148457122104659e+00
3.847090301003344592e+00,1.884587828517344299e+00
3.847176441193822072e+00,1.884581939799331085e+00
3.855384615384615188e+00,1.884029512302110021e+00
3.858854500880307459e+00,1.883795986622073704e+00
3.863678929765886672e+00,1.883476295782715360e+00
3.870718745428264107e+00,1.883010033444815878e+00
3.871973244147156823e+00,1.882928214124209854e+00
3.880267558528427863e+00,1.882383229927724333e+00
3.882681628378017002e+00,1.882224080267558719e+00
