kH,c
5.200000107288360596e-02,2.892800048828125000e+03
6.520000100135803223e-02,2.650650634765625000e+03
7.840000092983245850e-02,2.482735839843750000e+03
9.160000085830688477e-02,2.361472167968750000e+03
1.048000007867813110e-01,2.273841308593750000e+03
1.180000007152557373e-01,2.210216796875000000e+03
1.312000006437301636e-01,2.164334472656250000e+03
1.444000005722045898e-01,2.131187744140625000e+03
1.576000005006790161e-01,2.107218505859375000e+03
1.708000004291534424e-01,2.089864501953125000e+03
1.840000003576278687e-01,2.077312255859375000e+03
1.972000002861022949e-01,2.068240478515625000e+03
2.104000002145767212e-01,2.061667236328125000e+03
2.236000001430511475e-01,2.056925048828125000e+03
2.368000000715255737e-01,2.053508300781250000e+03
2.500000000000000000e-01,2.051018310546875000e+03
