kH,c
5.200000107288360596e-02,2.894777099609375000e+03
6.520000100135803223e-02,2.660778808593750000e+03
7.840000092983245850e-02,2.490720458984375000e+03
9.160000085830688477e-02,2.367430908203125000e+03
1.048000007867813110e-01,2.277966064453125000e+03
1.180000007152557373e-01,2.213450439453125000e+03
1.312000006437301636e-01,2.166666992187500000e+03
1.444000005722045898e-01,2.132840576171875000e+03
1.576000005006790161e-01,2.108399658203125000e+03
1.708000004291534424e-01,2.090709960937500000e+03
1.840000003576278687e-01,2.077884521484375000e+03
1.972000002861022949e-01,2.068641845703125000e+03
2.104000002145767212e-01,2.061968261718750000e+03
2.236000001430511475e-01,2.057100097656250000e+03
2.368000000715255737e-01,2.053625000000000000e+03
2.500000000000000000e-01,2.051083496093750000e+03
