kh1,c/beta_l
1.734765991568565369e-02,1.678569436073303223e+00
2.285781688988208771e-02,1.521749615669250488e+00
2.836797386407852173e-02,1.410645842552185059e+00
3.387812897562980652e-02,1.329785108566284180e+00
3.938828408718109131e-02,1.271711945533752441e+00
4.489844292402267456e-02,1.228302240371704102e+00
5.040859803557395935e-02,1.197376370429992676e+00
5.591875687241554260e-02,1.175223708152770996e+00
6.142890453338623047e-02,1.159848570823669434e+00
6.693906337022781372e-02,1.148717403411865234e+00
7.244922220706939697e-02,1.140557289123535156e+00
7.795937359333038330e-02,1.134514331817626953e+00
8.346953243017196655e-02,1.130259394645690918e+00
8.897969126701354980e-02,1.127305626869201660e+00
9.448984265327453613e-02,1.124679803848266602e+00
1.000000014901161194e-01,1.122648239135742188e+00
