kH,c_pinn
3.216079950332641602e+00,2.974235057830810547e+00
3.828683614730834961e+00,2.530901908874511719e+00
4.441287040710449219e+00,2.183967351913452148e+00
5.053890705108642578e+00,1.912853717803955078e+00
5.666494369506835938e+00,1.700254797935485840e+00
6.279098033905029297e+00,1.533506989479064941e+00
6.891701698303222656e+00,1.403373241424560547e+00
7.504304885864257812e+00,1.300880432128906250e+00
8.116909027099609375e+00,1.211004257202148438e+00
8.729512214660644531e+00,1.150863170623779297e+00
9.342116355895996094e+00,1.098309636116027832e+00
9.954719543457031250e+00,1.061592459678649902e+00
