kH,c_pinn
2.745599985122680664e+00,2.050105571746826172e+00
2.950527191162109375e+00,2.013787031173706055e+00
3.155454397201538086e+00,1.983334064483642578e+00
3.360381603240966797e+00,1.957369685173034668e+00
3.565309047698974609e+00,1.935215353965759277e+00
3.770236492156982422e+00,1.916323661804199219e+00
3.975163459777832031e+00,1.900229096412658691e+00
4.180090904235839844e+00,1.886498332023620605e+00
4.385018348693847656e+00,1.874791860580444336e+00
4.589945793151855469e+00,1.864809632301330566e+00
4.794872760772705078e+00,1.856294155120849609e+00
4.999799728393554688e+00,1.850353121757507324e+00
