kH,c
5.200000107288360596e-02,2.896073242187500000e+03
6.520000100135803223e-02,2.660457763671875000e+03
7.840000092983245850e-02,2.489831298828125000e+03
9.160000085830688477e-02,2.366626220703125000e+03
1.048000007867813110e-01,2.277420898437500000e+03
1.180000007152557373e-01,2.213015869140625000e+03
1.312000006437301636e-01,2.166381835937500000e+03
1.444000005722045898e-01,2.132691406250000000e+03
1.576000005006790161e-01,2.108308105468750000e+03
1.708000004291534424e-01,2.090660888671875000e+03
1.840000003576278687e-01,2.077881347656250000e+03
1.972000002861022949e-01,2.068638427734375000e+03
2.104000002145767212e-01,2.061925048828125000e+03
2.236000001430511475e-01,2.057087646484375000e+03
2.368000000715255737e-01,2.053555664062500000e+03
2.500000000000000000e-01,2.051035156250000000e+03
