kH,c
5.200000107288360596e-02,2.918908935546875000e+03
6.520000100135803223e-02,2.682491699218750000e+03
7.840000092983245850e-02,2.501369873046875000e+03
9.160000085830688477e-02,2.373334960937500000e+03
1.048000007867813110e-01,2.279972412109375000e+03
1.180000007152557373e-01,2.213896484375000000e+03
1.312000006437301636e-01,2.166776611328125000e+03
1.444000005722045898e-01,2.132924072265625000e+03
1.576000005006790161e-01,2.108456298828125000e+03
1.708000004291534424e-01,2.090756103515625000e+03
1.840000003576278687e-01,2.077957519531250000e+03
1.972000002861022949e-01,2.069426513671875000e+03
2.104000002145767212e-01,2.062584472656250000e+03
2.236000001430511475e-01,2.057618896484375000e+03
2.368000000715255737e-01,2.054226562500000000e+03
2.500000000000000000e-01,2.051972656250000000e+03
