kH,c
5.200000107288360596e-02,2.897216796875000000e+03
6.520000100135803223e-02,2.660299560546875000e+03
7.840000092983245850e-02,2.489497802734375000e+03
9.160000085830688477e-02,2.366035400390625000e+03
1.048000007867813110e-01,2.277039306640625000e+03
1.180000007152557373e-01,2.212713134765625000e+03
1.312000006437301636e-01,2.166274902343750000e+03
1.444000005722045898e-01,2.132603515625000000e+03
1.576000005006790161e-01,2.108244628906250000e+03
1.708000004291534424e-01,2.090618652343750000e+03
1.840000003576278687e-01,2.077854248046875000e+03
1.972000002861022949e-01,2.068580078125000000e+03
2.104000002145767212e-01,2.061831787109375000e+03
2.236000001430511475e-01,2.056934326171875000e+03
2.368000000715255737e-01,2.053374267578125000e+03
2.500000000000000000e-01,2.050807373046875000e+03
