kH,c
5.200000107288360596e-02,2.890852539062500000e+03
6.520000100135803223e-02,2.653046142578125000e+03
7.840000092983245850e-02,2.482148681640625000e+03
9.160000085830688477e-02,2.359702392578125000e+03
1.048000007867813110e-01,2.272014892578125000e+03
1.180000007152557373e-01,2.208851806640625000e+03
1.312000006437301636e-01,2.163290771484375000e+03
1.444000005722045898e-01,2.130390380859375000e+03
1.576000005006790161e-01,2.106632568359375000e+03
1.708000004291534424e-01,2.089429443359375000e+03
1.840000003576278687e-01,2.076997314453125000e+03
1.972000002861022949e-01,2.067999755859375000e+03
2.104000002145767212e-01,2.061391845703125000e+03
2.236000001430511475e-01,2.056680664062500000e+03
2.368000000715255737e-01,2.053197753906250000e+03
2.500000000000000000e-01,2.050740966796875000e+03
