kH,c
5.200000107288360596e-02,2.897495361328125000e+03
6.520000100135803223e-02,2.660926757812500000e+03
7.840000092983245850e-02,2.489932861328125000e+03
9.160000085830688477e-02,2.366490478515625000e+03
1.048000007867813110e-01,2.277314941406250000e+03
1.180000007152557373e-01,2.212883789062500000e+03
1.312000006437301636e-01,2.166288574218750000e+03
1.444000005722045898e-01,2.132604736328125000e+03
1.576000005006790161e-01,2.108238281250000000e+03
1.708000004291534424e-01,2.090604736328125000e+03
1.840000003576278687e-01,2.077833984375000000e+03
1.972000002861022949e-01,2.068591064453125000e+03
2.104000002145767212e-01,2.061902587890625000e+03
2.236000001430511475e-01,2.057077148437500000e+03
2.368000000715255737e-01,2.053566162109375000e+03
2.500000000000000000e-01,2.051010498046875000e+03
