kH,c
5.200000107288360596e-02,2.901755615234375000e+03
6.520000100135803223e-02,2.665559814453125000e+03
7.840000092983245850e-02,2.494018554687500000e+03
9.160000085830688477e-02,2.369835693359375000e+03
1.048000007867813110e-01,2.279912841796875000e+03
1.180000007152557373e-01,2.214845703125000000e+03
1.312000006437301636e-01,2.167763183593750000e+03
1.444000005722045898e-01,2.133702148437500000e+03
1.576000005006790161e-01,2.109039794921875000e+03
1.708000004291534424e-01,2.091190429687500000e+03
1.840000003576278687e-01,2.078277343750000000e+03
1.972000002861022949e-01,2.068926025390625000e+03
2.104000002145767212e-01,2.062175292968750000e+03
2.236000001430511475e-01,2.057272216796875000e+03
2.368000000715255737e-01,2.053740722656250000e+03
2.500000000000000000e-01,2.051193359375000000e+03
