kH,c
5.200000107288360596e-02,2.900599121093750000e+03
6.520000100135803223e-02,2.663189941406250000e+03
7.840000092983245850e-02,2.492134277343750000e+03
9.160000085830688477e-02,2.368399902343750000e+03
1.048000007867813110e-01,2.278880126953125000e+03
1.180000007152557373e-01,2.214102783203125000e+03
1.312000006437301636e-01,2.167224853515625000e+03
1.444000005722045898e-01,2.133300781250000000e+03
1.576000005006790161e-01,2.108748779296875000e+03
1.708000004291534424e-01,2.090979492187500000e+03
1.840000003576278687e-01,2.078118164062500000e+03
1.972000002861022949e-01,2.068812011718750000e+03
2.104000002145767212e-01,2.062078125000000000e+03
2.236000001430511475e-01,2.057204833984375000e+03
2.368000000715255737e-01,2.053674804687500000e+03
2.500000000000000000e-01,2.051129150390625000e+03
