kH,c
5.200000107288360596e-02,2.901254882812500000e+03
6.520000100135803223e-02,2.663822998046875000e+03
7.840000092983245850e-02,2.492581054687500000e+03
9.160000085830688477e-02,2.368685302734375000e+03
1.048000007867813110e-01,2.279060546875000000e+03
1.180000007152557373e-01,2.214213134765625000e+03
1.312000006437301636e-01,2.167294189453125000e+03
1.444000005722045898e-01,2.133343750000000000e+03
1.576000005006790161e-01,2.108777099609375000e+03
1.708000004291534424e-01,2.090997314453125000e+03
1.840000003576278687e-01,2.078125244140625000e+03
1.972000002861022949e-01,2.068806396484375000e+03
2.104000002145767212e-01,2.062062500000000000e+03
2.236000001430511475e-01,2.057172119140625000e+03
2.368000000715255737e-01,2.053631835937500000e+03
2.500000000000000000e-01,2.051072265625000000e+03
