kH,c
5.200000107288360596e-02,2.891987792968750000e+03
6.520000100135803223e-02,2.665994384765625000e+03
7.840000092983245850e-02,2.497490234375000000e+03
9.160000085830688477e-02,2.374718994140625000e+03
1.048000007867813110e-01,2.283683349609375000e+03
1.180000007152557373e-01,2.217706054687500000e+03
1.312000006437301636e-01,2.169949462890625000e+03
1.444000005722045898e-01,2.135430419921875000e+03
1.576000005006790161e-01,2.110293945312500000e+03
1.708000004291534424e-01,2.092111816406250000e+03
1.840000003576278687e-01,2.079053466796875000e+03
1.972000002861022949e-01,2.069672851562500000e+03
2.104000002145767212e-01,2.062815673828125000e+03
2.236000001430511475e-01,2.057803222656250000e+03
2.368000000715255737e-01,2.053970947265625000e+03
2.500000000000000000e-01,2.051362548828125000e+03
