kH,c
5.200000107288360596e-02,2.897758789062500000e+03
6.520000100135803223e-02,2.662013183593750000e+03
7.840000092983245850e-02,2.491323730468750000e+03
9.160000085830688477e-02,2.367716308593750000e+03
1.048000007867813110e-01,2.278320312500000000e+03
1.180000007152557373e-01,2.213671630859375000e+03
1.312000006437301636e-01,2.166886718750000000e+03
1.444000005722045898e-01,2.133044921875000000e+03
1.576000005006790161e-01,2.108560546875000000e+03
1.708000004291534424e-01,2.090840332031250000e+03
1.840000003576278687e-01,2.078010009765625000e+03
1.972000002861022949e-01,2.068732421875000000e+03
2.104000002145767212e-01,2.062018066406250000e+03
2.236000001430511475e-01,2.057158935546875000e+03
2.368000000715255737e-01,2.053645507812500000e+03
2.500000000000000000e-01,2.051100097656250000e+03
