Activation,Depth,Width,Final_Loss,PINN_c/cs(k=0.331),Analytical_c/cs(k=0.331),Error(k=0.331),PINN_c/cs(k=0.455),Analytical_c/cs(k=0.455),Error(k=0.455),PINN_c/cs(k=0.579),Analytical_c/cs(k=0.579),Error(k=0.579),PINN_c/cs(k=0.703),Analytical_c/cs(k=0.703),Error(k=0.703),PINN_c/cs(k=0.827),Analytical_c/cs(k=0.827),Error(k=0.827),PINN_c/cs(k=0.951),Analytical_c/cs(k=0.951),Error(k=0.951),PINN_c/cs(k=1.075),Analytical_c/cs(k=1.075),Error(k=1.075),PINN_c/cs(k=1.199),Analytical_c/cs(k=1.199),Error(k=1.199),Mean_Error,Max_Error
sin_tanh,7,50,9.837936687517868e-09,3.36267016090515,3.452742738854064,0.026087254325472303,2.5822339782591994,2.537361783515482,0.017684586815817627,2.0379084985832687,2.011963954913882,0.01289513343716802,1.6581816199137605,1.6699526939528493,0.007048746998471077,1.393386662720188,1.429409383305581,0.02520112223000003,1.2086287143838874,1.2509079211484329,0.033798816083704844,1.079736862882414,1.1132496803930132,0.03010359499835481,0.989673774694552,1.003812582290209,0.014085106966281763,0.02086304523190881,0.033798816083704844
arctan,7,50,9.885546603527471e-09,3.362016230364824,3.452742738854064,0.026276648841596303,2.581724500160916,2.537361783515482,0.01748379633272877,2.037522760996,2.011963954913882,0.012703411519721847,1.6579874234322396,1.6699526939528493,0.0071650356108515795,1.3932402630025786,1.429409383305581,0.02530354195616055,1.2085517084864748,1.2509079211484329,0.033860376088330896,1.0796902167813376,1.1132496803930132,0.030145495842251697,0.989641202085072,1.003812582290209,0.014117555861677815,0.020881982756664932,0.033860376088330896
tanh,7,50,9.81518066822673e-09,3.362202106668923,3.452742738854064,0.026222814450169732,2.5814807366649686,2.537361783515482,0.01738772666795679,2.0372290764355228,2.011963954913882,0.012557442423327243,1.6576778066171256,1.6699526939528493,0.007350440153288715,1.3929533939065852,1.429409383305581,0.025504232604580672,1.208310334828723,1.2509079211484329,0.03405333486145161,1.0795095627162583,1.1132496803930132,0.030307772165578825,0.989508964371584,1.003812582290209,0.01424929132287947,0.020954131831154132,0.03405333486145161
sin,7,50,9.993793348428426e-09,3.361962768799264,3.452742738854064,0.026292132637987704,2.5813654933564267,2.537361783515482,0.017342308111844472,2.0368706007061883,2.011963954913882,0.01237927037980781,1.6574343971712813,1.6699526939528493,0.007496198441368225,1.39280168343743,1.429409383305581,0.0256103676775186,1.208226779004404,1.2509079211484329,0.03412013100440221,1.0794563666882755,1.1132496803930132,0.030355556619434707,0.9894708154729808,1.003812582290209,0.014287295328085472,0.02098540752505615,0.03412013100440221
sin_gelu,7,50,8.122415628974977e-09,3.3624888872523906,3.452742738854064,0.026139755674825575,2.5815444656835167,2.537361783515482,0.017412842920184655,2.0370970157470865,2.011963954913882,0.012491804722356626,1.657478653434162,1.6699526939528493,0.007469696934444774,1.3927263592780068,1.429409383305581,0.02566306367930987,1.208103569568544,1.2509079211484329,0.03421862701180357,1.0793480273567433,1.1132496803930132,0.030452874708485456,0.9893915967624244,1.003812582290209,0.014366213157921442,0.021026859851166497,0.03421862701180357
sin_tanh_gelu,7,50,9.08414321543205e-09,3.3624492336408496,3.452742738854064,0.026151240344996565,2.5812113045365503,2.537361783515482,0.017281540734926406,2.0365898389744728,2.011963954913882,0.012239724275599616,1.657064060763495,1.6699526939528493,0.007717963051304374,1.3924564845869598,1.429409383305581,0.025851865218042534,1.2079057440734668,1.2509079211484329,0.03437677254092899,1.0792079120284628,1.1132496803930132,0.03057873625666128,0.9892943214966122,1.003812582290209,0.014463118962379704,0.021082620173104936,0.03437677254092899
gelu,7,50,3.795165959274982e-09,3.361663950512293,3.452742738854064,0.026378677831062285,2.5809163808007125,2.537361783515482,0.017165308301004732,2.036523454580152,2.011963954913882,0.012206729452725884,1.656942267528047,1.6699526939528493,0.007790895198358038,1.3922668022442528,1.429409383305581,0.025984565020438083,1.20772190355746,1.2509079211484329,0.0345237382071453,1.079062751486214,1.1132496803930132,0.030709129774670326,0.9891866017527604,1.003812582290209,0.014570429575687674,0.02116618417013654,0.0345237382071453
relu,7,50,9.774985265664782e-09,3.361814067755984,3.452742738854064,0.026335200151129293,2.580927002303804,2.537361783515482,0.01716949434304268,2.036479552367373,2.011963954913882,0.012184908876531305,1.6568919924134144,1.6699526939528493,0.007821000910223152,1.3922328134343604,1.429409383305581,0.02600834323981269,1.207715176605502,1.2509079211484329,0.034529115862721844,1.0790551394089982,1.1132496803930132,0.030715967483541693,0.9891796092632252,1.003812582290209,0.014577395507036352,0.02116767829675488,0.034529115862721844
silu,7,50,9.751377483269152e-09,3.3607887386575626,3.452742738854064,0.026632160908408746,2.580122777494734,2.537361783515482,0.016852541193399448,2.035952371763938,2.011963954913882,0.011922885989815212,1.6565356409846983,1.6699526939528493,0.008034391043971582,1.3919776318225898,1.429409383305581,0.026186865652461547,1.2074985864549637,1.2509079211484329,0.03470226222056055,1.0788935155369577,1.1132496803930132,0.030861149534690806,0.9890670213304564,1.003812582290209,0.014689555819384633,0.021235226545336564,0.03470226222056055
sigmoid,7,50,3.5827540045829664e-08,3.3598034172207845,3.452742738854064,0.026917534453819524,2.5793612157230816,2.537361783515482,0.01655240197927547,2.0353260571316487,2.011963954913882,0.011611590834273553,1.656050592343525,1.6699526939528493,0.008324847559853627,1.3914670030614713,1.429409383305581,0.026544096245098108,1.206925998925812,1.2509079211484329,0.03515999977219895,1.0784814897295376,1.1132496803930132,0.031231260404405672,0.9887512086385392,1.003812582290209,0.015004169022575155,0.021418237533937505,0.03515999977219895
softplus,7,50,4.352251892214554e-07,3.3612104123302906,3.452742738854064,0.026510033746143538,2.5804635507189166,2.537361783515482,0.016986843375451834,2.0359700742690903,2.011963954913882,0.011931684609248325,1.6558390474069546,1.6699526939528493,0.008451524762948248,1.3909764666437006,1.429409383305581,0.02688727044242733,1.2063198651493967,1.2509079211484329,0.0356445548430941,1.077825346376067,1.1132496803930132,0.031820655007455546,0.988217124058094,1.003812582290209,0.015536225095459405,0.02172109898527854,0.0356445548430941
