Activation,Mean Relative Error,Max Relative Error,Min Relative Error,RMSE
dispersion,0.005779958397454148,0.01501658429614446,0.0005585566732889776,0.008770564160085523
sigmoid_L3_N20,1692.3767764051863,1872.1402153192917,1509.818190221404,2247.2092424004422
sin_L3_N20,1692.6220466043947,1872.389749583455,1510.0149521622218,2247.5340944015247
L3_N20,1692.6517205748667,1872.438140052913,1510.0130260287651,2247.5703994904175
silu_L3_N20,1692.6630792394092,1872.3676728254995,1510.3720276722909,2247.6752570030912
L4_N30,1692.67428848502,1872.4553108646562,1509.790039040112,2247.592315709691
sin_tanh_L3_N20,1692.6914121299362,1872.4124953340759,1510.1142221173034,2247.613303261023
L5_N30,1692.7142321441752,1872.4049134172024,1510.0674022578917,2247.682047846937
sin_tanh_gelu_L3_N20,1692.7465937071734,1872.4368020675824,1510.140299001026,2247.7052884330888
L5_N40,1692.8811184324068,1872.465345754636,1510.4170695623575,2247.9496478140018
L4_N20,1692.88347020429,1872.4876455101466,1510.4987079881037,2247.907819341423
arctan_L3_N20,1692.8851900487903,1872.5302380431717,1510.394104124988,2247.8819046083604
gelu_L3_N20,1692.9595220832607,1872.4017914514309,1510.914604650661,2248.1358211170523
L3_N40,1692.989801585527,1872.471366688624,1511.0126892928458,2248.1004628881337
L4_N40,1692.9920176970672,1872.478056615277,1510.86422885256,2248.080733947383
sin_gelu_L3_N20,1693.0217817554897,1872.4430459991254,1511.0079480412599,2248.150086228939
tanh_L3_N20,1693.0617644441743,1872.4972344050161,1510.94112602672,2248.2893972932106
L3_N30,1693.1417335766973,1872.5166351923103,1511.3553928840447,2248.3404013252175
L6_N20,1693.357262719302,1872.4608858035338,1511.5604520151383,2248.7215758520942
L6_N40,1693.376241453773,1872.5005793683426,1511.6766126789946,2248.735597142275
L6_N30,1693.3965886449212,1872.4437149917908,1511.705801009071,2248.774221454359
L5_N20,1693.400060896992,1872.4756036421709,1511.7917361940667,2248.876203534465
softplus_L3_N20,1693.6461297465298,1872.6687195248924,1512.176073900755,2249.037319589007
relu_L3_N20,1693.8635758004173,1872.4133873242963,1513.3433107755777,2249.603288126011
