Activation,Depth,Width,Final_Loss,c(k=0.331),c/cs(k=0.331),c(k=0.455),c/cs(k=0.455),c(k=0.579),c/cs(k=0.579),c(k=0.703),c/cs(k=0.703),c(k=0.827),c/cs(k=0.827),c(k=0.951),c/cs(k=0.951),c(k=1.075),c/cs(k=1.075),c(k=1.199),c/cs(k=1.199)
tanh,7,50,9.81518066822673e-09,4636.9150390625,3.362202106668923,3560.198486328125,2.5814807366649686,2809.6044921875,2.0372290764355228,2286.15380859375,1.6576778066171256,1921.0643310546875,1.3929533939065852,1666.41748046875,1.208310334828723,1488.784423828125,1.0795095627162583,1364.661865234375,0.9895089643715841
sigmoid,7,50,3.5827540045829664e-08,4633.60693359375,3.3598034172207845,3557.275390625,2.5793612157230816,2806.97998046875,2.0353260571316487,2283.90966796875,1.656050592343525,1919.014404296875,1.3914670030614713,1664.50830078125,1.206925998925812,1487.3665771484375,1.0784814897295376,1363.6168212890625,0.9887512086385393
relu,7,50,9.774985265664782e-09,4636.3798828125,3.3618140677559842,3559.434814453125,2.5809270023038042,2808.57080078125,2.0364795523673735,2285.070068359375,1.6568919924134144,1920.070556640625,1.3922328134343604,1665.5966796875,1.207715176605502,1488.15771484375,1.0790551394089982,1364.2076416015625,0.9891796092632252
gelu,7,50,3.795165959274982e-09,4636.1728515625,3.361663950512293,3559.420166015625,2.5809163808007125,2808.63134765625,2.0365234545801516,2285.139404296875,1.656942267528047,1920.117431640625,1.3922668022442528,1665.60595703125,1.20772190355746,1488.168212890625,1.079062751486214,1364.21728515625,0.9891866017527604
silu,7,50,9.751377483269152e-09,4634.9658203125,3.3607887386575626,3558.32568359375,2.580122777494734,2807.84375,2.035952371763938,2284.57861328125,1.6565356409846983,1919.7186279296875,1.3919776318225898,1665.2979736328125,1.2074985864549637,1487.934814453125,1.0788935155369577,1364.0523681640625,0.9890670213304565
softplus,7,50,4.3522518922145537e-07,4635.54736328125,3.3612104123302906,3558.795654296875,2.5804635507189166,2807.8681640625,2.0359700742690903,2283.617919921875,1.6558390474069546,1918.337890625,1.3909764666437006,1663.67236328125,1.2063198651493967,1486.461669921875,1.077825346376067,1362.8802490234375,0.9882171240580939
sin,7,50,9.993793348428426e-09,4636.5849609375,3.361962768799264,3560.03955078125,2.5813654933564267,2809.110107421875,2.0368706007061883,2285.818115234375,1.6574343971712813,1920.8551025390625,1.39280168343743,1666.30224609375,1.2082267790044041,1488.7110595703125,1.0794563666882755,1364.6092529296875,0.9894708154729809
arctan,7,50,9.885546603527473e-09,4636.65869140625,3.3620162303648238,3560.53466796875,2.5817245001609157,2810.009521484375,2.0375227609959996,2286.580810546875,1.6579874234322396,1921.4599609375,1.3932402630025786,1666.7503662109375,1.2085517084864748,1489.0335693359375,1.0796902167813376,1364.84423828125,0.9896412020850719
sin_tanh,7,50,9.837936687517868e-09,4637.560546875,3.36267016090515,3561.2373046875,2.5822339782591994,2810.54150390625,2.0379084985832687,2286.8486328125,1.6581816199137605,1921.661865234375,1.393386662720188,1666.8565673828125,1.2086287143838874,1489.097900390625,1.079736862882414,1364.88916015625,0.9896737746945521
sin_gelu,7,50,8.122415628974977e-09,4637.310546875,3.3624888872523906,3560.286376953125,2.5815444656835167,2809.42236328125,2.0370970157470865,2285.879150390625,1.6574786534341621,1920.751220703125,1.3927263592780068,1666.13232421875,1.208103569568544,1488.5616455078125,1.0793480273567433,1364.5,0.9893915967624243
sin_tanh_gelu,7,50,9.08414321543205e-09,4637.255859375,3.3624492336408496,3559.826904296875,2.5812113045365503,2808.722900390625,2.0365898389744728,2285.307373046875,1.657064060763495,1920.3790283203125,1.3924564845869598,1665.8594970703125,1.2079057440734668,1488.368408203125,1.0792079120284628,1364.3658447265625,0.9892943214966122
