Activation,Mean_Relative_Error,Max_Relative_Error
arctan,0.019619933576576272,0.03061283818911967
gelu,0.01960646774939454,0.0307476333716627
relu,0.019490974299554552,0.030431200796160233
sigmoid,0.019614232100678773,0.03069534274704392
silu,0.019633293707027273,0.03065104784716334
sin,0.019453071031192325,0.030451720797702073
sin_gelu,0.019566627740402617,0.03066725157251899
sin_tanh,0.019624245217902295,0.03080197599643602
sin_tanh_gelu,0.0194980403446102,0.030606823705909118
softplus,0.019587643231866788,0.030810183997052754
tanh,0.01934929195431563,0.030006649040118773
