Layers,Neurons,Mean_Error(%),Max_Error(%),RMSE
7,54,91738.17598752826,140781.0130126324,1425.8023036465079
5,54,91738.38803369377,140781.3382943389,1425.805599544792
7,64,91740.75980932309,140784.97663046326,1425.8424647774493
6,64,91741.66296891704,140786.3620895835,1425.8565028627327
8,54,91742.94309947192,140788.32582729304,1425.8764003227432
5,44,91743.10017070564,140788.56677670524,1425.8788417288795
8,44,91743.25724193934,140788.80772611743,1425.8812831350158
6,44,91745.95886715948,140792.9520560075,1425.9232753205595
7,44,91746.296570312,140793.47009724376,1425.9285243437525
5,64,91746.44578798405,140793.69899918535,1425.9308436795818
6,54,91748.8411242984,140797.37347772156,1425.96807512316
8,64,91750.13696197666,140799.36131037233,1425.9882167237843
