Activation,Depth,Width,Final_Loss,c(k=0.1),c(k=0.15),c(k=0.2),c(k=0.25)
tanh,3,20,4.998057789862287e-08,2278.3203125,2133.044921875,2068.732421875,2051.10009765625
sigmoid,3,20,3.604250053967917e-08,2266.5087890625,2129.184326171875,2067.77001953125,2049.7236328125
relu,3,20,1.140920062425721e-06,2279.972412109375,2132.924072265625,2069.426513671875,2051.97265625
gelu,3,20,2.361248441218322e-08,2277.4208984375,2132.69140625,2068.638427734375,2051.03515625
silu,3,20,3.5364962513995124e-08,2272.014892578125,2130.390380859375,2067.999755859375,2050.740966796875
softplus,3,20,2.492714372692717e-07,2283.683349609375,2135.430419921875,2069.6728515625,2051.362548828125
sin,3,20,1.515868461865466e-07,2276.901611328125,2132.4853515625,2068.583740234375,2051.081787109375
arctan,3,20,1.6948947134665104e-08,2277.966064453125,2132.840576171875,2068.641845703125,2051.08349609375
sin_tanh,3,20,4.500326866718751e-08,2276.887451171875,2132.525146484375,2068.59375,2051.100830078125
sin_gelu,3,20,2.439689517075294e-08,2279.912841796875,2133.7021484375,2068.926025390625,2051.193359375
sin_tanh_gelu,3,20,2.210322769258255e-08,2276.8740234375,2132.500244140625,2068.59130859375,2051.068359375
