kh1,PINN_c_over_beta_l,Analytical_c_over_beta_l,Abs_Error,Rel_Error
1.734765991568565369e-02,1.678569436073303223e+00,1.686607122566150530e+00,8.037686492847306852e-03,4.765595013388816172e-03
2.285781688988208771e-02,1.521749615669250488e+00,1.478895402763217959e+00,4.285421290603252942e-02,2.897717636146699555e-02
2.836797386407852173e-02,1.410645842552185059e+00,1.364189714096804673e+00,4.645612845538038549e-02,3.405400874623791541e-02
3.387812897562980652e-02,1.329785108566283958e+00,1.294608735354264573e+00,3.517637321201938505e-02,2.717143199438825860e-02
3.938828408718109131e-02,1.271711945533752441e+00,1.249393902417130553e+00,2.231804311662188844e-02,1.786309591670365293e-02
4.489844292402267456e-02,1.228302240371704102e+00,1.218460802285461941e+00,9.841438086242160210e-03,8.076942703271713583e-03
5.040859803557395935e-02,1.197376370429992676e+00,1.196406304809702448e+00,9.700656202902280256e-04,8.108162054900942438e-04
5.591875687241553566e-02,1.175223708152770774e+00,1.180158691989514175e+00,4.934983836743400687e-03,4.181627327104623162e-03
6.142890453338623047e-02,1.159848570823669434e+00,1.167854515739617405e+00,8.005944915947971197e-03,6.855258774144228247e-03
6.693906337022781372e-02,1.148717403411865234e+00,1.158317799324383390e+00,9.600395912518155939e-03,8.288222729649684026e-03
7.244922220706939697e-02,1.140557289123535156e+00,1.150785893664311610e+00,1.022860454077645365e-02,8.888364549035890697e-03
7.795937359333038330e-02,1.134514331817626731e+00,1.144736331866597290e+00,1.022200004897055869e-02,8.929567241307570513e-03
8.346953243017196655e-02,1.130259394645690696e+00,1.139810776501567702e+00,9.551381855877005833e-03,8.379796061582392083e-03
8.897969126701354980e-02,1.127305626869201660e+00,1.135732846856380096e+00,8.427219987178435900e-03,7.420072432090278267e-03
9.448984265327452226e-02,1.124679803848266602e+00,1.132331809637197484e+00,7.652005788930882346e-03,6.757741612312921121e-03
1.000000014901161194e-01,1.122648239135741965e+00,1.129467825932546576e+00,6.819586796804610884e-03,6.037876104327283971e-03
