kH,PINN_c/cs,Analytical_c/cs,Abs_Error,Rel_Error
2.745599985122680664e+00,2.051252603530883789e+00,2.049999999999999822e+00,1.252603530883966698e-03,6.110261126263252318e-04
2.950527191162109375e+00,2.015350103378295898e+00,2.013718162778499465e+00,1.631940599796433133e-03,8.104116206334976416e-04
3.155454397201538086e+00,1.984646439552307129e+00,1.982132232406593975e+00,2.514207145713154290e-03,1.268435629372993223e-03
3.360381603240966797e+00,1.958529233932495117e+00,1.955978656695823048e+00,2.550577236672069148e-03,1.303990321131971806e-03
3.565309047698974609e+00,1.936190128326416016e+00,1.934146390983754626e+00,2.043737342661389178e-03,1.056661146327137011e-03
3.770236492156982422e+00,1.917177319526672363e+00,1.915794889485645136e+00,1.382430041027227219e-03,7.215960584373329019e-04
3.975163459777832031e+00,1.900959253311157227e+00,1.900279596476205590e+00,6.796568349516363128e-04,3.576614916099514268e-04
4.180090904235839844e+00,1.887141346931457520e+00,1.887103145826041217e+00,3.820110541630228340e-05,2.024325246915982502e-05
4.385018348693847656e+00,1.875329256057739258e+00,1.875864773033619981e+00,5.355169758807232228e-04,2.854773881246745076e-04
4.589945793151855469e+00,1.865275025367736816e+00,1.866248341822160928e+00,9.733164544241112992e-04,5.215364068180700780e-04
4.794872760772705078e+00,1.856685757637023926e+00,1.857993459585686402e+00,1.307701948662476354e-03,7.038248395955497977e-04
4.999799728393554688e+00,1.850294232368469238e+00,1.850888919970247182e+00,5.946876017779434420e-04,3.212983747222945071e-04
