kH,PINN_c/cs,Analytical_c/cs,Abs_Error,Rel_Error
3.216079950332641602e+00,2.915252208709716797e+00,2.879544538752428551e+00,3.570766995728824611e-02,1.240045759901970551e-02
3.828683614730834961e+00,2.454586505889892578e+00,2.433388185295153772e+00,2.119832059473880648e-02,8.711442228099578952e-03
4.441287040710449219e+00,2.102061271667480469e+00,2.109431244892740143e+00,7.369973225259673910e-03,3.493820072639732249e-03
5.053890705108642578e+00,1.830950617790222168e+00,1.863054236601302982e+00,3.210361881108081406e-02,1.723171455794340889e-02
5.666494369506835938e+00,1.623448014259338379e+00,1.669383966383463536e+00,4.593595212412515671e-02,2.751670858780340054e-02
6.279098033905029297e+00,1.463664412498474121e+00,1.513007476160309617e+00,4.934306366183549564e-02,3.261257094846462673e-02
6.891701698303222656e+00,1.341532945632934570e+00,1.384141632870432348e+00,4.260868723749777764e-02,3.078347347239017776e-02
7.504304885864257812e+00,1.247163295745849609e+00,1.276101046323182775e+00,2.893775057733316558e-02,2.267669214809533984e-02
8.116909027099609375e+00,1.175887346267700195e+00,1.184228034418358000e+00,8.340688150657804556e-03,7.043143641464620977e-03
8.729512214660644531e+00,1.120906949043273926e+00,1.105099589042974007e+00,1.580736000029991928e-02,1.430401400654689702e-02
9.342116355895996094e+00,1.078232288360595703e+00,1.036276351825611286e+00,4.195593653498441711e-02,4.048720832147767457e-02
9.954719543457031250e+00,1.028487324714660645e+00,1.000000000000000000e+00,2.848732471466064453e-02,2.848732471466064453e-02
