Activation,kH,PINN_c/cs1,Analytical_c/cs1,Absolute_Error,Relative_Error,Relative_Error_%
RELU,0.09723400324583054,1.9694825192365797,1.9979248360296522,0.02844231679307252,0.014235929340362028,1.4235929340362028
RELU,0.12836386263370514,1.7369344400717093,1.6702951470135268,0.0666392930581825,0.03989671716243263,3.989671716243263
RELU,0.15949372947216034,1.5667695838406075,1.489911896640583,0.0768576872000244,0.051585390635057835,5.158539063505783
RELU,0.19062358140945435,1.4425249156530155,1.3803532867967678,0.06217162885624772,0.045040374410613745,4.504037441061374
RELU,0.22175344824790955,1.351754470743463,1.309132333959152,0.04262213678431093,0.03255754645934888,3.255754645934888
RELU,0.25288331508636475,1.2854739172751652,1.2603932976782068,0.025080619596958398,0.019899042341116745,1.9899042341116744
RELU,0.28401318192481995,1.2369789417843637,1.22566205909272,0.01131688269164366,0.009233281398969655,0.9233281398969655
RELU,0.31514301896095276,1.2015863468035999,1.2000993759264145,0.0014869708771854118,0.0012390397887154531,0.1239039788715453
RELU,0.34627288579940796,1.1756641050010916,1.1807695895120813,0.0051054845109896885,0.00432386179008843,0.43238617900884296
RELU,0.37740275263786316,1.1566905116419106,1.1658181595509973,0.009127647909086711,0.007829392460829507,0.7829392460829507
RELU,0.40853261947631836,1.1428075614342732,1.154032070790804,0.011224509356530854,0.009726340922951321,0.9726340922951321
RELU,0.43966248631477356,1.132653754539457,1.1445854208354413,0.0119316662959843,0.01042444371454189,1.042444371454189
RELU,0.47079235315322876,1.1252222851676699,1.1369050829561043,0.011682797788434396,0.010275965833539569,1.0275965833539569
RELU,0.5019221901893616,1.1197920671596984,1.1305842236544037,0.01079215649470533,0.009545645754565447,0.9545645754565447
RELU,0.5330520272254944,1.1158192510217253,1.125324281061742,0.009505030040016793,0.00844648089442166,0.844648089442166
RELU,0.564181923866272,1.1129102963124047,1.1209050384969133,0.007994742184508574,0.007132399186312151,0.713239918631215
RELU,0.5953117609024048,1.1107836770457933,1.1171610851615035,0.0063774081157101925,0.005708584196511138,0.5708584196511138
RELU,0.6264416575431824,1.1092289384766174,1.113965026640804,0.004736088164186691,0.004251559116239503,0.4251559116239503
RELU,0.65757155418396,1.1080917986259085,1.1112188904332063,0.003127091807297866,0.0028141096540203487,0.28141096540203486
RELU,0.6887013912200928,1.1072603533973329,1.1088452690919688,0.0015849156946359244,0.0014293389157297022,0.1429338915729702
RELU,0.7198312282562256,1.1066526060023547,1.1067830437546242,0.0001304377522695077,0.00011785304536922956,0.011785304536922956
RELU,0.7509611248970032,1.106208190030033,1.1049830808574235,0.0012251091726094288,0.0011087130598043113,0.11087130598043113
RELU,0.782090961933136,1.1058832929298303,1.1034059084818915,0.0024773844479388796,0.0022452158619916773,0.22452158619916773
RELU,0.8132208585739136,1.1056458002125626,1.1020191207383274,0.003626679474235228,0.003290940607097122,0.3290940607097122
RELU,0.8443506956100464,1.1054720950373864,1.1007962018237438,0.00467589321364259,0.004247737415786687,0.4247737415786687
RELU,0.8754805326461792,1.1053451821076197,1.0997149662611283,0.005630215846491371,0.005119704668231705,0.5119704668231705
RELU,0.9066104292869568,1.105252370130286,1.0987573440275187,0.0064950261027674205,0.005911247044738525,0.5911247044738525
RELU,0.9377402663230896,1.1051844993026283,1.0979079343970215,0.007276564905606797,0.006627664012286364,0.6627664012286364
RELU,0.9688701629638672,1.1051349480804846,1.097153505265046,0.007981442815438555,0.007274681963040741,0.7274681963040741
RELU,1.0,1.1050986399466645,1.09648335070766,0.008615289239004564,0.007857200233313473,0.7857200233313473
