parameter,perturbation_percent,sigma1,sigma2,delta,k,kh1,c,c_normalized,best_loss,best_epoch,relative_change_percent
delta,-10.0,100000000000.0,100000000000.0,0.0018000000000000002,0.7257,5.8056,4036.20849609375,2.926633086491123,6.377869787854706e-09,2857,9.04036647218025
delta,-5.0,100000000000.0,100000000000.0,0.0019,0.7257,5.8056,3940.64794921875,2.8573426475759316,2.2506647656683754e-09,4245,6.458746354781359
delta,0.0,100000000000.0,100000000000.0,0.002,0.7257,5.8056,3701.57275390625,2.683990508448816,6.892954651505079e-09,4998,0.0
delta,5.0,100000000000.0,100000000000.0,0.0021000000000000003,0.7257,5.8056,4014.5546875,2.9109320262658285,5.724162255305032e-10,2815,8.455377062721839
delta,10.0,100000000000.0,100000000000.0,0.0022,0.7257,5.8056,4003.63525390625,2.903014403657348,1.6857568674311096e-09,3445,8.160382628741662
sigma1,-10.0,90000000000.0,100000000000.0,0.002,0.7257,5.8056,3966.12060546875,2.8758127337110295,2.680424548984206e-09,3798,7.146904009473383
sigma1,-5.0,95000000000.0,100000000000.0,0.002,0.7257,5.8056,3772.39501953125,2.7353433525942523,6.183258349778953e-10,4715,1.9133020025139775
sigma1,0.0,100000000000.0,100000000000.0,0.002,0.7257,5.8056,3701.57275390625,2.683990508448816,6.892954651505079e-09,4998,0.0
sigma1,5.0,105000000000.0,100000000000.0,0.002,0.7257,5.8056,3903.7548828125,2.83059168341956,1.509315006309464e-09,4470,5.462060111958842
sigma1,10.0,110000000000.00002,100000000000.0,0.002,0.7257,5.8056,4003.38427734375,2.9028324219008415,2.8319733225146138e-09,2474,8.153602360483115
sigma2,-10.0,100000000000.0,90000000000.0,0.002,0.7257,5.8056,3932.74462890625,2.851611992496521,4.604473191616165e-10,4126,6.245233860554154
sigma2,-5.0,100000000000.0,95000000000.0,0.002,0.7257,5.8056,3797.0341796875,2.7532090751916907,1.1994122139924457e-08,4515,2.57894230717227
sigma2,0.0,100000000000.0,100000000000.0,0.002,0.7257,5.8056,3701.57275390625,2.683990508448816,6.892954651505079e-09,4998,0.0
sigma2,5.0,100000000000.0,105000000000.0,0.002,0.7257,5.8056,3934.591796875,2.8529513640624056,1.2851251174339495e-09,4096,6.295136107289689
sigma2,10.0,100000000000.0,110000000000.00002,0.002,0.7257,5.8056,3707.0732421875,2.6879788829372355,5.256371782280667e-09,4319,0.14859868080250876
